credit_pull_event_id,applicant_id,product_code,event_date,dti_ratio,credit_score,credit_score_tier_change,pull_status,bureau_name,failure_code,provider_request_id,risk_status
EV-53195,AP-10064,MNT-01,3/30/2025 4:56,42.02,663,Upgraded,PENDING,EXPERIAN,,WDN-85726,High Risk
EV-73736,AP-10065,REV-02,7/10/2025 0:24,9.79,412,Downgraded,FAILED,EQUIFAX,TIMEOUT,XGJ-55697,Very High Risk
EV-13541,AP-10066,REV-02,5/8/2025 7:06,11.98,508,No_Change,PENDING,TRANSUNION,INVALID_REQUEST,RCO-01048,Very High Risk
EV-40417,AP-10067,MNT-01,6/23/2026 21:53,42.08,411,No_Change,PENDING,EQUIFAX,PROVIDER ERROR,BYE-83488,Very High Risk
EV-97441,AP-10068,MNT-01,8/13/2025 12:04,15.41,404,Downgraded,PENDING,TRANSUNION,INVALID_REQUEST,WKO-51282,Very High Risk
EV-03262,AP-10069,MNT-01,7/17/2026 15:07,21.2,771,Upgraded,PENDING,EQUIFAX,RATE_LIMITED,HPP-04545,Low Risk
EV-24899,AP-10070,MNT-01,2/14/2026 22:45,44.78,781,Not_Applicable,PENDING,TRANSUNION,PROVIDER ERROR,RBW-20823,Low Risk
EV-82263,AP-10071,MNT-01,8/16/2025 2:45,17.72,564,No_Change,FAILED,EQUIFAX,RATE_LIMITED,QLE-31712,Very High Risk
EV-49113,AP-10072,REV-02,3/27/2025 0:51,8.59,755,Upgraded,PENDING,TRANSUNION,RATE_LIMITED,SNS-96115,Low Risk
EV-97708,AP-10073,MNT-01,5/23/2026 21:57,24.11,487,Not_Applicable,PENDING,TRANSUNION,INVALID_REQUEST,CQW-14249,Very High Risk
EV-68349,AP-10074,MNT-01,7/9/2026 10:57,13.18,614,No_Change,FAILED,TRANSUNION,,RNT-79208,High Risk
EV-62580,AP-10075,REV-02,3/8/2026 20:01,44.25,526,Downgraded,PENDING,EQUIFAX,INVALID_REQUEST,IIF-70930,Very High Risk
EV-64086,AP-10076,MNT-01,2/8/2026 11:52,30.86,683,Downgraded,FAILED,TRANSUNION,INVALID_REQUEST,EAR-00604,Moderate Risk
EV-99386,AP-10077,REV-02,5/18/2026 2:38,33.43,658,No_Change,FAILED,EQUIFAX,PROVIDER ERROR,AVF-40453,High Risk
EV-47721,AP-10078,REV-02,9/15/2025 11:14,44.22,498,No_Change,SUCCESS,EQUIFAX,,AUA-71258,Very High Risk
EV-38133,AP-10079,REV-02,3/26/2026 12:08,44.5,795,No_Change,PENDING,TRANSUNION,,WBX-69272,Low Risk
EV-26825,AP-10080,REV-02,10/8/2025 9:46,46.22,480,Upgraded,FAILED,TRANSUNION,PROVIDER ERROR,YCE-71520,Very High Risk
EV-24898,AP-10081,REV-02,2/27/2025 2:28,40.87,328,Not_Applicable,SUCCESS,TRANSUNION,,EAX-75197,Very High Risk
EV-51208,AP-10082,MNT-01,12/23/2025 14:10,6.89,546,No_Change,PENDING,EQUIFAX,PROVIDER ERROR,ZTL-95406,Very High Risk
EV-09487,AP-10083,MNT-01,12/11/2025 20:07,48.99,327,Upgraded,FAILED,EQUIFAX,,ALG-77772,Very High Risk
EV-83920,AP-10084,MNT-01,2/1/2025 7:52,11.35,336,Upgraded,PENDING,EQUIFAX,INVALID_REQUEST,UWD-57925,Very High Risk
EV-14455,AP-10085,REV-02,7/12/2026 9:49,8.48,423,Upgraded,SUCCESS,EQUIFAX,,AGS-57467,Very High Risk
EV-88716,AP-10086,MNT-01,7/15/2026 14:22,45.61,462,Downgraded,PENDING,EQUIFAX,PROVIDER ERROR,HDW-85518,Very High Risk
EV-58324,AP-10087,MNT-01,12/11/2025 8:22,21.93,728,Upgraded,FAILED,EXPERIAN,INVALID_REQUEST,UKI-60049,Moderate Risk
EV-36031,AP-10088,REV-02,11/18/2025 12:55,1.76,448,Not_Applicable,FAILED,TRANSUNION,RATE_LIMITED,IUV-42067,Very High Risk
EV-40050,AP-10089,REV-02,3/7/2025 7:17,17.64,402,Upgraded,SUCCESS,TRANSUNION,,ABL-58512,Very High Risk
EV-32058,AP-10090,MNT-01,8/30/2025 0:04,25.49,793,No_Change,PENDING,EXPERIAN,PROVIDER ERROR,MPV-76639,Low Risk
EV-24463,AP-10091,REV-02,2/15/2025 15:20,3.1,311,Not_Applicable,PENDING,TRANSUNION,PROVIDER ERROR,YNX-39471,Very High Risk
EV-83779,AP-10092,MNT-01,8/9/2025 6:58,40.16,409,No_Change,SUCCESS,EQUIFAX,,SVR-51615,Very High Risk
EV-51395,AP-10093,MNT-01,7/4/2026 12:49,25.89,677,Upgraded,SUCCESS,EQUIFAX,,UYX-98680,Moderate Risk
EV-64113,AP-10094,MNT-01,11/2/2025 11:30,48.31,422,Upgraded,SUCCESS,TRANSUNION,,UGJ-03721,Very High Risk
EV-77459,AP-10095,REV-02,3/1/2025 16:56,1.17,711,Downgraded,SUCCESS,EXPERIAN,,OTU-79330,Moderate Risk
EV-16574,AP-10096,REV-02,7/1/2025 7:49,30.34,459,Downgraded,FAILED,TRANSUNION,INVALID_REQUEST,RWN-83394,Very High Risk
EV-72381,AP-10097,REV-02,7/16/2026 18:03,2.11,359,Upgraded,SUCCESS,EQUIFAX,,YZN-52353,Very High Risk
EV-67047,AP-10098,MNT-01,4/23/2025 2:43,46.64,497,No_Change,SUCCESS,EQUIFAX,,GFB-67495,Very High Risk
EV-99279,AP-10099,MNT-01,8/24/2026 9:49,4.81,712,Upgraded,SUCCESS,EXPERIAN,,TLR-65810,Moderate Risk
EV-77967,AP-10100,REV-02,4/7/2026 0:06,28.08,821,Downgraded,FAILED,TRANSUNION,PROVIDER ERROR,BYW-21839,Low Risk
EV-99461,AP-10101,REV-02,7/17/2025 13:54,37.51,416,Not_Applicable,FAILED,EQUIFAX,PROVIDER ERROR,IYY-80993,Very High Risk
EV-13980,AP-10102,REV-02,5/9/2025 9:07,12.97,654,Upgraded,FAILED,EXPERIAN,PROVIDER ERROR,TYO-01204,High Risk
EV-19952,AP-10103,MNT-01,3/17/2025 9:39,33.5,366,Not_Applicable,PENDING,TRANSUNION,PROVIDER ERROR,DKR-42672,Very High Risk
EV-53809,AP-10104,REV-02,8/18/2025 6:57,1.37,808,Upgraded,FAILED,TRANSUNION,PROVIDER ERROR,QSL-20669,Low Risk
EV-63670,AP-10105,REV-02,5/26/2026 5:39,23.04,692,Not_Applicable,FAILED,EXPERIAN,PROVIDER ERROR,ADM-06635,Moderate Risk
EV-40192,AP-10106,REV-02,2/1/2026 17:09,26.46,708,Downgraded,PENDING,EXPERIAN,INVALID_REQUEST,HON-33414,Moderate Risk
EV-71923,AP-10107,REV-02,4/8/2026 3:53,11.05,331,Downgraded,FAILED,TRANSUNION,,QBS-23367,Very High Risk
EV-98985,AP-10108,REV-02,5/20/2026 9:53,21.3,695,No_Change,PENDING,EQUIFAX,,ICH-34822,Moderate Risk
EV-15145,AP-10109,REV-02,6/7/2026 22:55,6.09,762,Upgraded,FAILED,EXPERIAN,PROVIDER ERROR,YPL-90885,Low Risk
EV-19792,AP-10110,MNT-01,6/19/2026 13:11,9.62,812,Upgraded,FAILED,EXPERIAN,INVALID_REQUEST,PJH-78646,Low Risk
EV-67428,AP-10111,MNT-01,1/7/2025 3:30,14.39,453,Upgraded,PENDING,TRANSUNION,INVALID_REQUEST,TBU-30291,Very High Risk
EV-47896,AP-10112,MNT-01,10/3/2025 14:49,10.4,432,Upgraded,FAILED,TRANSUNION,,ZXA-81750,Very High Risk
EV-17749,AP-10113,MNT-01,7/19/2025 3:09,42.82,485,No_Change,FAILED,EXPERIAN,TIMEOUT,UCN-10024,Very High Risk
EV-40512,AP-10114,REV-02,6/19/2025 10:04,8.35,368,Upgraded,FAILED,EQUIFAX,RATE_LIMITED,ZQV-43415,Very High Risk
EV-87630,AP-10115,REV-02,9/29/2025 12:35,44.31,745,Upgraded,PENDING,EQUIFAX,PROVIDER ERROR,XNH-31392,Moderate Risk
EV-83059,AP-10116,MNT-01,6/29/2026 2:35,33.11,824,Downgraded,FAILED,EQUIFAX,INVALID_REQUEST,HVP-85216,Low Risk
EV-59176,AP-10117,REV-02,2/12/2025 12:54,18.86,546,Downgraded,FAILED,TRANSUNION,RATE_LIMITED,JZQ-35184,Very High Risk
EV-53333,AP-10118,MNT-01,4/19/2026 12:10,43.29,636,Upgraded,SUCCESS,TRANSUNION,,SXB-48742,High Risk
EV-49643,AP-10119,REV-02,2/14/2025 10:24,37.2,810,Downgraded,PENDING,TRANSUNION,,PNU-80783,Low Risk
EV-27286,AP-10120,MNT-01,8/17/2025 23:48,29.15,700,Downgraded,PENDING,EXPERIAN,,POP-11804,Moderate Risk
EV-98892,AP-10121,MNT-01,4/26/2026 2:59,4.49,582,Upgraded,SUCCESS,EXPERIAN,,CWO-91023,High Risk
EV-42925,AP-10122,REV-02,2/26/2025 17:19,41.99,362,Upgraded,FAILED,EXPERIAN,TIMEOUT,BVL-68703,Very High Risk
EV-58413,AP-10123,REV-02,1/6/2026 16:07,25.18,367,Downgraded,FAILED,EQUIFAX,INVALID_REQUEST,MUH-64706,Very High Risk
EV-61778,AP-10124,MNT-01,7/17/2025 10:03,43.71,656,Downgraded,FAILED,EXPERIAN,TIMEOUT,JPQ-45372,High Risk
EV-61552,AP-10125,REV-02,5/12/2025 21:11,19.4,660,Downgraded,FAILED,TRANSUNION,PROVIDER ERROR,JST-62294,High Risk
EV-48326,AP-10126,MNT-01,12/17/2025 11:42,17.02,540,No_Change,PENDING,EXPERIAN,TIMEOUT,GME-99197,Very High Risk
EV-53219,AP-10127,REV-02,1/16/2025 18:33,22.75,613,No_Change,FAILED,TRANSUNION,PROVIDER ERROR,DUM-10727,High Risk
EV-93233,AP-10128,REV-02,8/1/2025 18:37,2.28,540,Upgraded,PENDING,TRANSUNION,,ERV-18385,Very High Risk
EV-81178,AP-10129,MNT-01,10/3/2025 15:36,35.22,818,Not_Applicable,PENDING,TRANSUNION,RATE_LIMITED,JTP-07623,Low Risk
EV-89060,AP-10130,REV-02,5/1/2026 8:00,47.16,677,Upgraded,FAILED,EQUIFAX,TIMEOUT,CNH-65298,Moderate Risk
EV-51859,AP-10131,MNT-01,8/26/2026 16:22,37.68,747,Upgraded,FAILED,EXPERIAN,INVALID_REQUEST,IGT-08730,Moderate Risk
EV-37791,AP-10132,MNT-01,7/25/2025 18:27,23.79,609,Not_Applicable,PENDING,TRANSUNION,INVALID_REQUEST,XHJ-56416,High Risk
EV-53720,AP-10133,MNT-01,3/26/2025 18:02,16.19,778,No_Change,PENDING,TRANSUNION,INVALID_REQUEST,SHN-04258,Low Risk
EV-14242,AP-10134,MNT-01,8/18/2025 3:04,33.09,392,Not_Applicable,SUCCESS,TRANSUNION,,POR-91166,Very High Risk
EV-50338,AP-10135,REV-02,4/19/2025 9:04,34.59,545,No_Change,SUCCESS,EXPERIAN,,FFO-59294,Very High Risk
EV-96110,AP-10136,MNT-01,9/3/2025 6:14,10.12,604,Downgraded,FAILED,EXPERIAN,,NQT-46195,High Risk
EV-05894,AP-10137,MNT-01,9/16/2025 6:37,9.73,333,Upgraded,SUCCESS,TRANSUNION,,ACX-28334,Very High Risk
EV-34336,AP-10138,REV-02,12/8/2025 14:40,37.6,565,Downgraded,FAILED,EXPERIAN,PROVIDER ERROR,LTM-11942,Very High Risk
EV-23380,AP-10139,REV-02,3/14/2026 17:56,13.19,544,No_Change,FAILED,EQUIFAX,INVALID_REQUEST,MTI-83159,Very High Risk
EV-08132,AP-10140,REV-02,5/21/2025 9:40,9.07,766,Downgraded,FAILED,EXPERIAN,INVALID_REQUEST,NVT-77132,Low Risk
EV-69991,AP-10141,MNT-01,3/2/2025 19:42,37.34,430,Not_Applicable,PENDING,TRANSUNION,INVALID_REQUEST,YOB-86172,Very High Risk
EV-37464,AP-10142,MNT-01,3/10/2025 18:16,23.78,593,No_Change,FAILED,EQUIFAX,TIMEOUT,BUR-72566,High Risk
EV-67740,AP-10143,REV-02,10/3/2025 5:51,45.48,625,Downgraded,PENDING,TRANSUNION,TIMEOUT,PSS-32602,High Risk
EV-75650,AP-10144,MNT-01,10/25/2025 12:27,41.72,814,Not_Applicable,FAILED,TRANSUNION,RATE_LIMITED,JAM-72409,Low Risk
EV-81132,AP-10145,REV-02,6/28/2025 9:47,4.98,392,Upgraded,PENDING,TRANSUNION,RATE_LIMITED,MJD-49774,Very High Risk
EV-91244,AP-10146,MNT-01,6/18/2026 5:16,16.17,683,Downgraded,SUCCESS,TRANSUNION,,EUS-43694,Moderate Risk
EV-31439,AP-10147,REV-02,5/11/2025 15:05,40.44,395,Not_Applicable,PENDING,EQUIFAX,PROVIDER ERROR,ZRD-47569,Very High Risk
EV-13477,AP-10148,MNT-01,9/22/2025 7:28,42.18,784,Downgraded,SUCCESS,EXPERIAN,,PUP-71434,Low Risk
EV-81763,AP-10149,REV-02,11/5/2025 15:12,36.3,740,Upgraded,FAILED,TRANSUNION,,FAO-39424,Moderate Risk
EV-78185,AP-10150,MNT-01,2/19/2026 12:34,14.83,434,Downgraded,SUCCESS,EXPERIAN,,LZT-51961,Very High Risk
EV-59660,AP-10151,MNT-01,6/9/2025 7:46,37.04,706,Upgraded,PENDING,EXPERIAN,PROVIDER ERROR,KIF-61703,Moderate Risk
EV-30215,AP-10152,MNT-01,5/22/2025 18:52,34.78,596,No_Change,SUCCESS,EQUIFAX,,NCI-34312,High Risk
EV-22921,AP-10153,REV-02,7/2/2026 16:32,23.83,614,Downgraded,SUCCESS,EXPERIAN,,TCW-27329,High Risk
EV-10609,AP-10154,MNT-01,4/20/2025 11:30,4.78,616,Not_Applicable,FAILED,EQUIFAX,,IPQ-96279,High Risk
EV-33603,AP-10155,REV-02,10/13/2025 5:52,31.6,610,No_Change,FAILED,EXPERIAN,RATE_LIMITED,ASC-60861,High Risk
EV-10603,AP-10156,MNT-01,5/31/2025 14:06,7.17,764,Upgraded,SUCCESS,TRANSUNION,,ERT-87392,Low Risk
EV-17022,AP-10157,MNT-01,7/14/2026 8:30,8.49,822,No_Change,FAILED,EQUIFAX,INVALID_REQUEST,HPU-04600,Low Risk
EV-61068,AP-10158,MNT-01,11/4/2025 8:21,45.93,788,No_Change,FAILED,EXPERIAN,,OXK-61207,Low Risk
EV-40338,AP-10159,REV-02,5/14/2026 22:12,45.37,533,Upgraded,SUCCESS,TRANSUNION,,XET-60233,Very High Risk
EV-29382,AP-10160,MNT-01,6/19/2025 12:50,12.12,740,Downgraded,FAILED,TRANSUNION,TIMEOUT,LKX-95804,Moderate Risk
EV-11875,AP-10161,REV-02,5/12/2026 12:34,10.89,847,Upgraded,FAILED,EQUIFAX,RATE_LIMITED,QKW-65398,Low Risk
EV-50221,AP-10162,MNT-01,3/22/2026 15:22,32.37,783,Upgraded,PENDING,TRANSUNION,RATE_LIMITED,QGF-91199,Low Risk
EV-43511,AP-10163,MNT-01,10/31/2025 1:08,49.03,675,Not_Applicable,PENDING,EXPERIAN,,TBD-17264,Moderate Risk
EV-11783,AP-10164,MNT-01,8/13/2026 8:19,33.52,613,No_Change,PENDING,EQUIFAX,INVALID_REQUEST,JTL-64471,High Risk
EV-98618,AP-10165,MNT-01,2/21/2025 7:04,15.45,712,Downgraded,FAILED,EQUIFAX,PROVIDER ERROR,ATD-71315,Moderate Risk
EV-01566,AP-10166,MNT-01,7/23/2025 22:26,39.62,379,Upgraded,PENDING,EQUIFAX,RATE_LIMITED,OIG-12001,Very High Risk
EV-28121,AP-10167,REV-02,7/31/2025 18:02,14.25,649,No_Change,FAILED,EXPERIAN,INVALID_REQUEST,TDL-03184,High Risk
EV-37705,AP-10168,REV-02,1/6/2025 3:07,38.47,555,Upgraded,SUCCESS,EQUIFAX,,ZIE-48588,Very High Risk
EV-28980,AP-10169,MNT-01,1/6/2025 4:02,3.68,654,Downgraded,FAILED,EXPERIAN,PROVIDER ERROR,RGY-53511,High Risk
EV-11183,AP-10170,REV-02,3/2/2026 6:50,30.34,551,No_Change,SUCCESS,EQUIFAX,,SVD-85164,Very High Risk
EV-61351,AP-10171,MNT-01,12/12/2025 11:18,45.69,813,Upgraded,SUCCESS,EQUIFAX,,JEB-82693,Low Risk
EV-35311,AP-10172,REV-02,11/20/2025 11:32,40.35,692,Downgraded,SUCCESS,EXPERIAN,,ONI-89615,Moderate Risk
EV-86845,AP-10173,REV-02,8/4/2025 10:31,21.56,603,Downgraded,FAILED,TRANSUNION,,YFG-34981,High Risk
EV-13117,AP-10174,REV-02,5/14/2026 1:36,45.99,682,Downgraded,FAILED,TRANSUNION,TIMEOUT,PAQ-68809,Moderate Risk
EV-08904,AP-10175,REV-02,8/14/2025 7:27,34.56,581,Downgraded,PENDING,TRANSUNION,,SZH-38914,High Risk
EV-64237,AP-10176,REV-02,7/12/2026 5:42,47.01,353,Upgraded,FAILED,EQUIFAX,TIMEOUT,XYC-86175,Very High Risk
EV-17674,AP-10177,MNT-01,2/22/2026 17:27,43.11,812,Upgraded,FAILED,EQUIFAX,INVALID_REQUEST,VTJ-98900,Low Risk
EV-59729,AP-10178,REV-02,7/31/2026 5:15,34.01,568,No_Change,PENDING,TRANSUNION,,RIL-22639,Very High Risk
EV-29793,AP-10179,MNT-01,7/28/2026 2:47,15.66,692,Downgraded,PENDING,EXPERIAN,PROVIDER ERROR,SWS-03319,Moderate Risk
EV-45599,AP-10180,MNT-01,3/1/2026 20:28,7.15,510,Upgraded,SUCCESS,EQUIFAX,,XUI-15471,Very High Risk
EV-94209,AP-10181,REV-02,7/9/2026 22:59,14.21,593,No_Change,FAILED,EXPERIAN,INVALID_REQUEST,MEP-18346,High Risk
EV-71515,AP-10182,MNT-01,2/21/2026 4:15,32.55,560,Not_Applicable,FAILED,EXPERIAN,RATE_LIMITED,NBZ-29771,Very High Risk
EV-35763,AP-10183,MNT-01,5/6/2026 17:06,44.98,480,Downgraded,FAILED,EXPERIAN,PROVIDER ERROR,WOW-19575,Very High Risk
EV-29321,AP-10184,REV-02,4/24/2025 4:04,10.35,561,Upgraded,PENDING,EXPERIAN,PROVIDER ERROR,XVK-14072,Very High Risk
EV-94566,AP-10185,REV-02,3/27/2025 9:06,26.17,400,Upgraded,SUCCESS,EXPERIAN,,YTB-52659,Very High Risk
EV-98006,AP-10186,REV-02,3/15/2025 16:23,22.86,752,No_Change,FAILED,EXPERIAN,PROVIDER ERROR,IMS-63624,Low Risk
