applicant_id,income,employment_duration,credit_score,credit_risk_tier,region,birth_date,employment_status,housing_status,residential_status,state,application_date
AP-10094,598,313,474,Excellent,Northeast,5/10/1970,employed,self-employed,rent,NC,12/6/2025 1:04
AP-10095,715,214,407,Fair,Southeast,9/18/1996,employed,retired,other,NC,1/29/2026 11:35
AP-10096,327,289,326,Excellent,West,9/4/2006,retired,retired,rent,NC,3/24/2025 20:30
AP-10097,72,235,424,Excellent,Northeast,10/14/1945,retired,retired,other,NC,10/22/2025 4:13
AP-10098,566,75,652,Excellent,Southwest,4/10/2006,self-employed,employed,own,NC,2/5/2026 5:28
AP-10099,62,176,640,Good,Southwest,6/11/1981,retired,employed,own,NC,9/14/2025 16:48
AP-10100,396,119,718,Excellent,Southeast,2/27/1985,employed,retired,own,NC,2/5/2025 1:41
AP-10101,534,211,630,Fair,Northeast,10/26/1994,self-employed,employed,own,NC,6/6/2026 8:51
AP-10102,626,118,757,Fair,Midwest,10/8/2006,employed,self-employed,rent,NC,11/3/2025 1:34
AP-10103,625,320,352,Subprime,West,1/14/1976,self-employed,self-employed,rent,NC,2/7/2026 16:08
AP-10104,164,263,429,Good,Southwest,6/23/1980,retired,self-employed,rent,NC,5/24/2026 7:49
AP-10105,806,15,359,Subprime,Southeast,8/23/1968,employed,employed,own,NC,7/8/2025 21:25
AP-10106,44,358,400,Excellent,Southwest,3/31/1992,retired,self-employed,other,NC,2/11/2026 1:05
AP-10107,135,190,750,Subprime,Midwest,10/3/1971,employed,self-employed,own,NC,6/5/2025 21:09
AP-10108,180,28,708,Good,West,9/9/2004,employed,employed,other,NC,12/27/2025 21:32
AP-10109,58,143,433,Excellent,Southeast,10/6/2000,self-employed,self-employed,other,NC,11/6/2025 13:11
AP-10110,586,41,761,Excellent,Southeast,7/17/1972,employed,employed,rent,NC,1/20/2026 22:24
AP-10111,659,27,464,Good,Northeast,8/28/1945,employed,retired,own,NC,2/13/2025 8:29
AP-10112,607,218,571,Subprime,Northeast,8/10/1962,employed,self-employed,other,NC,5/13/2025 15:28
AP-10113,903,115,607,Subprime,Midwest,6/6/1985,employed,retired,rent,NC,2/27/2026 5:22
AP-10114,510,121,443,Fair,Southwest,10/22/1960,employed,retired,own,NC,6/10/2025 3:00
AP-10115,785,106,414,Fair,Southeast,10/8/1950,retired,self-employed,own,NC,6/20/2025 22:17
AP-10116,27,262,324,Good,West,10/28/1977,self-employed,retired,other,NC,7/17/2026 9:40
AP-10117,490,228,663,Excellent,West,11/5/1986,employed,retired,other,NC,9/1/2025 7:18
AP-10118,564,186,419,Subprime,West,2/18/1960,employed,employed,rent,NC,6/16/2026 16:29
AP-10119,293,269,605,Excellent,Midwest,1/29/1997,self-employed,self-employed,rent,NC,5/30/2025 10:41
AP-10120,764,16,516,Subprime,West,12/31/1973,self-employed,self-employed,rent,NC,6/26/2025 15:19
AP-10121,491,196,392,Fair,Midwest,6/11/1964,self-employed,self-employed,own,NC,10/22/2025 6:52
AP-10122,156,68,322,Excellent,Northeast,9/3/1957,employed,self-employed,own,NC,6/11/2026 12:21
AP-10123,417,307,309,Subprime,Northeast,9/7/1984,self-employed,employed,other,NC,10/28/2025 2:25
AP-10124,574,262,511,Subprime,Midwest,6/1/1972,self-employed,retired,other,NC,2/10/2026 10:22
AP-10125,434,356,773,Excellent,West,10/10/1950,employed,employed,own,NC,3/1/2026 14:31
AP-10126,2,155,606,Good,Midwest,8/16/1948,self-employed,retired,own,NC,3/9/2026 2:27
AP-10127,51,204,687,Subprime,Northeast,11/21/1981,employed,employed,own,NC,10/13/2025 21:16
AP-10128,2,236,661,Good,Northeast,7/13/2000,employed,retired,rent,NC,7/20/2026 5:12
AP-10129,177,273,685,Excellent,Northeast,3/18/1963,retired,employed,own,NC,3/8/2026 17:52
AP-10130,433,197,642,Good,Northeast,5/22/1960,retired,employed,own,NC,7/9/2026 14:19
AP-10131,945,88,749,Good,Midwest,2/24/1978,employed,self-employed,own,NC,1/25/2025 7:31
AP-10132,344,102,655,Subprime,Northeast,11/3/1972,self-employed,retired,other,NC,6/21/2025 1:38
AP-10133,754,59,739,Excellent,Southeast,3/16/1947,retired,employed,own,NC,1/6/2026 10:21
AP-10134,411,177,620,Excellent,Southwest,7/14/1955,self-employed,retired,other,NC,2/3/2025 2:39
AP-10135,357,291,738,Subprime,Southeast,11/20/1986,retired,retired,other,NC,1/5/2025 22:07
AP-10136,782,74,474,Excellent,Northeast,8/15/1968,employed,retired,other,NC,11/20/2025 18:03
AP-10137,576,270,739,Subprime,Midwest,1/9/1952,self-employed,retired,other,NC,3/1/2026 9:46
AP-10138,744,196,707,Good,Midwest,7/20/1948,employed,employed,rent,NC,1/25/2025 4:24
AP-10139,940,314,822,Excellent,Midwest,6/28/1957,retired,employed,rent,NC,11/19/2025 17:37
AP-10140,883,351,355,Subprime,Midwest,10/10/1985,employed,employed,other,NC,5/19/2026 2:23
AP-10141,863,263,819,Excellent,Northeast,2/14/1982,employed,retired,rent,NC,1/31/2025 2:25
AP-10142,817,345,627,Subprime,Southwest,2/18/1993,retired,employed,other,NC,5/10/2026 1:53
AP-10143,538,136,700,Subprime,West,3/31/1952,employed,retired,own,NC,6/17/2026 18:58
AP-10144,5,356,312,Fair,Southeast,5/6/1964,self-employed,retired,rent,NC,3/31/2026 8:28
AP-10145,753,57,308,Subprime,Midwest,11/20/2003,employed,retired,own,NC,2/14/2026 18:57
AP-10146,915,202,403,Subprime,Midwest,12/30/1995,self-employed,self-employed,rent,NC,6/10/2025 4:05
AP-10147,100,261,650,Subprime,Southeast,1/30/1976,retired,self-employed,other,NC,6/12/2026 7:57
AP-10148,42,225,728,Fair,Midwest,3/12/1985,retired,self-employed,other,NC,11/9/2025 7:38
AP-10149,42,313,455,Good,Midwest,2/8/1973,employed,employed,rent,NC,5/20/2025 8:43
AP-10150,964,349,531,Subprime,West,9/16/1994,employed,retired,rent,NC,1/22/2026 14:23
AP-10151,396,307,596,Good,Midwest,9/19/1992,self-employed,self-employed,other,NC,7/23/2025 20:15
AP-10152,463,203,406,Excellent,Southwest,2/10/1949,self-employed,retired,other,NC,8/13/2025 12:17
AP-10153,383,57,306,Subprime,Southeast,10/3/1971,self-employed,self-employed,own,NC,4/10/2025 12:01
AP-10154,6,144,490,Excellent,West,5/30/1966,retired,employed,rent,NC,2/8/2026 13:13
AP-10155,226,243,433,Excellent,Southwest,6/10/1991,employed,retired,rent,NC,9/13/2025 9:53
AP-10156,204,38,302,Subprime,West,12/3/1953,retired,employed,other,NC,3/5/2025 18:57
AP-10157,167,147,733,Subprime,Midwest,1/12/1946,employed,retired,rent,NC,1/4/2025 10:44
AP-10158,135,161,438,Subprime,Southwest,5/12/1986,retired,self-employed,own,NC,5/19/2026 7:23
AP-10159,739,357,527,Excellent,Midwest,4/18/1986,self-employed,retired,own,NC,8/15/2025 2:22
AP-10160,568,170,613,Good,Southeast,10/30/1993,employed,self-employed,rent,NC,12/7/2025 11:43
AP-10161,838,174,727,Subprime,Midwest,10/31/1992,self-employed,self-employed,other,NC,10/16/2025 21:10
AP-10162,353,48,651,Good,Northeast,11/30/1975,employed,employed,own,NC,11/16/2025 17:00
AP-10163,903,359,601,Good,Midwest,10/28/1960,self-employed,self-employed,other,NC,4/24/2025 12:00
AP-10164,410,259,848,Subprime,Northeast,6/4/1950,employed,retired,other,NC,3/24/2025 9:13
AP-10165,800,24,663,Fair,Southwest,5/11/1982,self-employed,retired,rent,NC,4/1/2026 9:17
AP-10166,983,28,728,Subprime,Southwest,9/24/1969,employed,employed,rent,NC,6/25/2025 12:08
AP-10167,712,107,731,Excellent,Midwest,7/7/1978,retired,self-employed,rent,NC,6/14/2026 19:16
AP-10168,132,252,417,Excellent,Southwest,4/22/1946,self-employed,self-employed,other,NC,9/27/2025 15:17
AP-10169,42,67,363,Excellent,West,6/24/1962,employed,self-employed,rent,NC,3/6/2025 12:01
AP-10170,121,215,512,Excellent,Midwest,2/17/1998,employed,self-employed,rent,NC,7/31/2026 14:28
AP-10171,461,233,445,Good,Southeast,3/22/1971,self-employed,retired,rent,NC,9/7/2025 2:09
AP-10172,170,70,766,Good,Southeast,10/14/1955,retired,employed,other,NC,3/25/2025 8:21
AP-10173,104,174,602,Fair,Northeast,8/31/1967,retired,retired,rent,NC,3/3/2026 15:24
AP-10174,847,39,839,Fair,Northeast,2/28/1980,employed,self-employed,rent,NC,5/29/2026 21:12
AP-10175,958,240,307,Good,Midwest,3/3/1964,employed,self-employed,own,NC,4/22/2026 5:05
AP-10176,656,61,310,Subprime,Southwest,3/28/2005,employed,employed,own,NC,3/11/2026 11:34
AP-10177,359,276,433,Excellent,Northeast,6/3/1968,self-employed,retired,own,NC,11/5/2025 17:34
AP-10178,34,149,723,Subprime,Southeast,3/26/1979,retired,self-employed,own,NC,12/5/2025 17:30
AP-10179,453,275,779,Subprime,West,1/12/1979,retired,retired,own,NC,2/13/2026 8:31
AP-10180,3,226,613,Fair,Northeast,10/20/1949,employed,retired,rent,NC,3/8/2026 2:22
AP-10181,233,143,471,Excellent,Southwest,6/2/1961,self-employed,self-employed,other,NC,4/26/2025 4:00
AP-10182,298,146,605,Good,West,3/28/1973,retired,employed,other,NC,3/19/2025 15:22
AP-10183,130,192,640,Fair,Southwest,10/16/2006,self-employed,self-employed,own,NC,5/11/2026 3:01
AP-10184,137,345,420,Fair,Northeast,2/17/1959,self-employed,retired,rent,NC,1/21/2025 0:28
AP-10185,675,330,482,Excellent,Southwest,11/5/1976,retired,employed,rent,NC,11/6/2025 11:08
AP-10186,869,209,716,Good,Midwest,9/12/1952,retired,self-employed,other,NC,3/18/2025 0:47
AP-10187,84,3,350,Excellent,Southwest,6/29/1949,retired,retired,own,NC,10/28/2025 16:07
AP-10188,863,297,595,Excellent,Southeast,6/12/1968,retired,retired,other,NC,8/24/2025 13:36
AP-10189,751,227,821,Fair,Southwest,1/4/1960,retired,self-employed,own,NC,12/30/2025 22:04
AP-10190,235,302,596,Good,Southeast,3/23/1989,retired,employed,own,NC,12/22/2025 22:24
AP-10191,897,250,785,Subprime,West,5/1/1964,employed,retired,own,NC,11/29/2025 17:28
AP-10192,828,271,591,Fair,Midwest,12/20/1964,employed,employed,rent,NC,10/11/2025 7:11
AP-10193,303,56,771,Fair,Southeast,3/12/1952,self-employed,self-employed,own,NC,9/4/2025 9:39
AP-10194,56,345,652,Subprime,West,8/5/2001,self-employed,retired,other,NC,2/22/2026 17:36
AP-10195,51,51,667,Good,West,4/21/1981,self-employed,self-employed,rent,NC,6/28/2025 3:18
AP-10196,590,269,704,Good,Southeast,11/7/2004,self-employed,retired,other,NC,1/11/2026 23:27
AP-10197,236,350,782,Fair,Southwest,4/12/2006,retired,retired,own,NC,10/18/2025 7:36
AP-10198,351,301,609,Subprime,Northeast,8/11/1952,retired,retired,rent,NC,3/9/2025 18:48
AP-10199,797,100,634,Fair,Southeast,3/22/2000,self-employed,employed,rent,NC,1/9/2026 6:47
AP-10200,345,258,447,Subprime,Northeast,10/21/2001,retired,employed,own,NC,2/12/2025 2:07
AP-10201,321,285,717,Good,Northeast,5/11/1998,employed,retired,own,NC,4/4/2025 17:24
AP-10202,876,90,678,Fair,Southeast,11/17/1990,employed,retired,other,NC,8/18/2025 19:32
AP-10203,915,24,307,Subprime,Midwest,11/28/1963,retired,retired,rent,NC,4/16/2026 23:02
AP-10204,342,95,389,Excellent,West,8/19/2006,retired,employed,rent,NC,4/20/2025 19:15
AP-10205,734,72,369,Excellent,Midwest,9/20/1958,self-employed,employed,own,NC,1/1/2026 13:50
AP-10206,286,49,428,Fair,Southwest,6/6/1966,employed,employed,rent,NC,11/26/2025 15:00
AP-10207,564,13,631,Good,Southwest,1/26/1967,employed,self-employed,own,NC,9/19/2025 1:52
AP-10208,581,144,641,Good,Southwest,7/10/1949,retired,employed,own,NC,4/9/2025 5:28
AP-10209,848,317,497,Excellent,Southwest,10/26/1994,employed,retired,rent,NC,2/4/2026 0:49
AP-10210,784,320,309,Good,West,1/7/1990,employed,employed,other,NC,5/13/2026 7:13
AP-10211,767,141,380,Excellent,Midwest,9/16/1984,employed,retired,rent,NC,9/26/2025 1:01
AP-10212,997,109,657,Good,Northeast,7/14/1968,employed,retired,own,NC,7/13/2026 2:48
AP-10213,51,138,841,Excellent,Midwest,12/14/1974,self-employed,employed,own,NC,6/25/2026 7:47
AP-10214,917,115,376,Fair,Southwest,8/9/1997,self-employed,retired,own,NC,5/28/2025 14:16
AP-10215,167,28,376,Good,Midwest,8/16/1972,self-employed,self-employed,rent,NC,4/1/2026 18:05
AP-10216,267,275,417,Fair,Midwest,7/31/1964,employed,retired,rent,NC,5/17/2025 23:45
AP-10217,430,297,588,Subprime,Southeast,10/17/1949,retired,self-employed,other,NC,4/27/2026 12:28
AP-10218,342,182,761,Subprime,Northeast,5/4/1969,retired,retired,other,NC,10/23/2025 21:20
AP-10219,203,308,376,Fair,Southwest,9/10/1974,retired,employed,own,NC,10/4/2025 3:35
AP-10220,796,135,423,Excellent,Southwest,5/3/1978,self-employed,employed,own,NC,4/17/2025 14:50
AP-10221,795,253,680,Subprime,Southwest,8/15/1959,self-employed,self-employed,own,NC,4/18/2026 15:44
AP-10222,144,218,400,Good,Midwest,1/22/1951,self-employed,retired,own,NC,4/2/2026 21:39
AP-10223,876,186,661,Subprime,Southeast,6/19/2005,employed,retired,rent,NC,2/7/2025 7:21
AP-10224,216,39,579,Fair,Southwest,12/28/2002,employed,self-employed,rent,NC,5/24/2025 18:32
AP-10225,924,155,638,Good,Northeast,10/14/1982,employed,retired,rent,NC,2/28/2025 10:16
AP-10226,812,305,372,Good,West,6/8/1992,self-employed,employed,other,NC,1/14/2026 21:20
AP-10227,22,108,316,Subprime,Midwest,9/19/1949,employed,retired,other,NC,1/12/2025 11:16
AP-10228,277,119,697,Excellent,Northeast,7/6/1980,retired,retired,other,NC,5/24/2025 4:08
AP-10229,662,318,684,Excellent,Midwest,3/5/1959,retired,retired,own,NC,7/27/2025 21:47
AP-10230,936,209,429,Good,Midwest,2/26/2007,self-employed,retired,other,NC,4/20/2026 20:41
AP-10231,459,320,358,Subprime,West,5/9/1970,self-employed,self-employed,other,NC,2/15/2026 19:16
AP-10232,194,140,660,Good,Southeast,1/3/1948,self-employed,self-employed,own,NC,5/22/2026 7:20
AP-10233,469,91,679,Subprime,Southeast,6/8/1977,retired,retired,own,NC,5/11/2025 18:03
AP-10234,92,206,752,Subprime,Southeast,9/2/1977,retired,employed,own,NC,4/20/2025 15:50
AP-10235,884,59,323,Subprime,West,10/22/1986,employed,employed,rent,NC,6/7/2026 18:34
AP-10236,325,172,753,Fair,West,11/16/1985,self-employed,retired,rent,NC,9/10/2025 18:00
AP-10237,272,60,416,Fair,Midwest,8/3/1971,employed,employed,other,NC,2/21/2025 3:26
AP-10238,737,238,617,Excellent,Northeast,7/15/2002,self-employed,self-employed,own,NC,4/15/2026 16:04
AP-10239,398,95,506,Excellent,Southwest,2/16/1947,retired,employed,own,NC,12/11/2025 17:30
AP-10240,207,190,768,Subprime,Midwest,5/6/1987,retired,employed,other,NC,12/18/2025 4:30
AP-10241,494,307,427,Fair,Midwest,3/2/1946,employed,self-employed,own,NC,7/12/2026 22:56
AP-10242,468,177,658,Good,Southwest,3/13/1958,self-employed,retired,other,NC,2/3/2025 4:49
AP-10243,385,266,711,Fair,Southeast,8/1/1996,self-employed,self-employed,other,NC,11/9/2025 15:00
AP-10244,884,246,775,Subprime,Midwest,5/31/1982,retired,employed,own,NC,7/14/2026 6:45
AP-10245,987,210,561,Fair,Southwest,7/23/1989,retired,self-employed,own,NC,1/14/2026 0:16
AP-10246,319,231,756,Good,West,7/26/1959,employed,employed,other,NC,4/22/2026 5:57
AP-10247,926,27,739,Excellent,Southwest,5/26/1993,retired,self-employed,own,NC,7/19/2025 6:02
AP-10248,649,63,414,Subprime,Northeast,5/30/1980,employed,employed,rent,NC,4/26/2026 15:21
AP-10249,725,315,471,Fair,West,10/22/1958,employed,retired,rent,NC,9/17/2025 9:31
AP-10250,794,225,805,Excellent,West,8/17/1949,employed,self-employed,other,NC,1/19/2026 8:57
AP-10251,534,161,622,Subprime,Southeast,5/14/1966,employed,retired,own,NC,5/2/2026 7:22
AP-10252,16,339,709,Fair,Northeast,5/11/1966,self-employed,self-employed,rent,NC,8/9/2025 10:36
AP-10253,798,211,400,Subprime,Southeast,12/16/2001,employed,retired,rent,NC,10/19/2025 18:07
AP-10254,194,45,362,Excellent,Northeast,8/22/1948,employed,self-employed,other,NC,11/22/2025 16:59
AP-10255,6,13,677,Excellent,Southeast,2/3/1991,retired,self-employed,rent,NC,1/27/2025 12:10
AP-10256,376,124,542,Subprime,Midwest,6/27/1998,self-employed,retired,own,NC,6/15/2026 13:02
AP-10257,413,14,375,Fair,Northeast,10/31/1971,employed,self-employed,rent,NC,7/14/2026 22:17
AP-10258,627,197,476,Subprime,West,7/18/1985,retired,self-employed,rent,NC,11/30/2025 10:57
AP-10259,992,283,439,Good,Southwest,10/26/2005,employed,employed,other,NC,2/2/2026 8:14
AP-10260,520,66,661,Subprime,Southwest,11/10/2007,employed,self-employed,rent,NC,4/5/2025 3:15
AP-10261,198,332,685,Subprime,Midwest,7/4/1996,retired,employed,rent,NC,7/7/2025 11:16
AP-10262,901,291,830,Subprime,Southeast,7/21/1986,self-employed,retired,other,NC,4/1/2025 23:41
AP-10263,44,155,656,Excellent,West,10/18/1974,self-employed,retired,own,NC,4/9/2025 23:08
AP-10264,977,277,560,Fair,Southeast,2/9/1961,retired,retired,rent,NC,3/24/2026 3:06
AP-10265,937,190,593,Subprime,Midwest,5/4/1978,employed,employed,own,NC,6/26/2026 3:03
AP-10266,583,97,820,Excellent,Midwest,11/14/1995,retired,employed,own,NC,8/30/2025 18:35
AP-10267,509,360,736,Good,Midwest,3/11/1959,employed,retired,rent,NC,5/27/2026 16:50
AP-10268,17,210,744,Subprime,Northeast,7/1/1982,self-employed,employed,rent,NC,5/29/2025 13:22
AP-10269,490,303,424,Good,Southeast,9/19/1990,retired,employed,rent,NC,4/22/2026 4:25
AP-10270,175,336,773,Subprime,Southwest,7/9/1967,self-employed,self-employed,other,NC,11/29/2025 19:11
